Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Name_Clean,Cluster,SVD_Component_1,SVD_Component_2,Combined_Cluster
Mortal Kombat Trilogy,N64,1996.0,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,,,,,,,mortal kombat trilogy,1,0.006623983630990596,0.010271507756357294,0
Star Soldier,NES,1986.0,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,,,,,,,star soldier,9,0.05520022293518993,0.16991446195510376,0
NHL 2001,PS2,2000.0,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,85.0,22.0,8.1,9.0,EA Sports,E,nhl 2001,1,0.01990673359495681,-0.028199526895894274,0
Farming Simulator 2013,PC,2012.0,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96,65.0,12.0,7.5,111.0,Giants Software,E,farming simulator 2013,1,0.01940545096058874,-0.007699560494384086,0
Guitar Hero: Warriors of Rock,Wii,2010.0,Misc,Activision,0.47,0.4,0.0,0.09,0.96,77.0,26.0,7.5,17.0,"Vicarious Visions, Neversoft Entertainment",T,guitar hero warriors of rock,1,0.035015961277743694,0.06725310646434124,0
de Blob,Wii,2008.0,Platform,THQ,0.49,0.37,0.0,0.1,0.96,82.0,48.0,8.6,73.0,Blue Tongue Entertainment,E,de blob,1,3.3524668207765602e-06,0.00011670085026651792,0
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012.0,Role-Playing,Square Enix,0.0,0.0,0.96,0.0,0.96,,,,,,,dragon quest monsters terry s wonderland 3d,1,0.023142641109657216,-0.011596579749820582,0
Shinobi,PS2,2002.0,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,71.0,33.0,7.9,43.0,Overworks,M,shinobi,1,0.0002582112197764435,0.00045832102912072035,0
Mortal Kombat: Deadly Alliance,XB,2002.0,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96,81.0,27.0,8.4,24.0,Midway,M,mortal kombat deadly alliance,1,0.003299030757925039,0.0041745943994696555,0
The Witcher 2: Assassins of Kings,PC,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.14,0.96,88.0,76.0,8.5,4378.0,CD Projekt Red Studio,M,the witcher 2 assassins of kings,1,0.0014887947009450324,0.0012938705322789003,0
Sniper Elite V2,PS3,2012.0,Shooter,505 Games,0.38,0.38,0.06,0.14,0.96,70.0,21.0,6.9,92.0,Rebellion,M,sniper elite v2,1,0.0010821209319117695,0.003268046757857814,0
ESPN NBA 2K5,XB,2004.0,Sports,Global Star,0.88,0.04,0.0,0.04,0.95,85.0,28.0,8.7,22.0,Visual Concepts,E,espn nba 2k5,1,-0.0026869499989279843,-0.028654094573158775,0
Gangs of London,PSP,2006.0,Adventure,Sony Computer Entertainment,0.3,0.43,0.0,0.22,0.95,52.0,47.0,6.7,18.0,SCEE London Studio,M,gangs of london,1,0.0005474436177826074,0.0013341421696888615,0
Mario Tennis Open,3DS,2012.0,Sports,Nintendo,0.26,0.29,0.34,0.05,0.95,69.0,58.0,6.9,110.0,Camelot Software Planning,E,mario tennis open,1,0.016234433823481737,0.030211599655060643,0
PilotWings Resort,3DS,2011.0,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.95,71.0,64.0,7.4,88.0,Monster Games Inc.,E,pilotwings resort,1,0.0007140700258001001,0.0005148823235336407,0
Wheel of Fortune,PS2,,Misc,Unknown,0.47,0.36,0.0,0.12,0.95,,,tbd,,Atari,E,wheel of fortune,1,0.0007007278692267268,0.0005940972966429447,0
World Championship Poker,PS2,2004.0,Misc,Play It,0.8,0.03,0.0,0.13,0.95,60.0,8.0,7.7,11.0,Coresoft,E,world championship poker,1,0.1823403720328362,0.18374658456474707,0
My Weight Loss Coach,DS,2008.0,Sports,Ubisoft,0.3,0.54,0.0,0.11,0.95,63.0,4.0,7.6,7.0,Ubisoft Montreal,E,my weight loss coach,1,0.0006958648757062204,0.0005510615035474768,0
Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005.0,Action,Ubisoft,0.36,0.45,0.0,0.14,0.95,87.0,29.0,8.6,53.0,Ubisoft Montreal,M,tom clancy s splinter cell chaos theory,1,0.005732841017856264,-0.020115899850471908,0
Sonic Unleashed,X360,2008.0,Platform,Sega,0.54,0.32,0.0,0.09,0.95,60.0,50.0,7.8,238.0,Sonic Team,E10+,sonic unleashed,1,0.009781300089207398,0.024449175331977786,0
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003.0,Platform,THQ,0.74,0.19,0.0,0.03,0.95,71.0,10.0,8.6,34.0,Heavy Iron Studios,E,spongebob squarepants battle for bikini bottom,1,0.007184041682924835,0.018457008255123333,0
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014.0,Action,Disney Interactive Studios,0.46,0.33,0.0,0.16,0.95,,,,,,,disney infinity 2 0 marvel super heroes,3,0.04020142398426504,0.11509120307583644,0
PlayStation All-Stars Battle Royale,PS3,2012.0,Action,Sony Computer Entertainment,0.5,0.27,0.04,0.15,0.95,74.0,69.0,7.3,540.0,SuperBot Entertainment,T,playstation all stars battle royale,1,0.009481604612367498,0.02207388298809415,0
Scooby-Doo! First Frights,Wii,2009.0,Action,Warner Bros. Interactive Entertainment,0.84,0.04,0.0,0.07,0.95,,,,,,,scooby doo first frights,1,0.0005502279365903334,0.00033841507009136246,0
Epic Mickey 2: The Power of Two,Wii,2012.0,Action,Disney Interactive Studios,0.67,0.21,0.0,0.07,0.95,,,,,,,epic mickey 2 the power of two,1,0.011851241019026413,0.0027022116542361257,0
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006.0,Action,Capcom,0.39,0.0,0.53,0.03,0.95,,,,,,,mega man star force dragon leo pegasus,6,0.07325164496871903,0.22276364038060137,0
Pro Evolution Soccer 2014,PS3,2013.0,Action,Konami Digital Entertainment,0.03,0.41,0.51,0.0,0.95,78.0,39.0,4.1,303.0,Konami,E,pro evolution soccer 2014,5,0.47638230087820804,-0.19931644095285309,0
Yakuza 4,PS3,,Action,Sega,0.15,0.13,0.63,0.05,0.95,78.0,59.0,8,177.0,Ryu ga Gotoku Studios,M,yakuza 4,1,-9.389543037960515e-06,0.00045249573621095556,0
Wild ARMs,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,,,,,,,wild arms,1,0.00532291928827834,0.005628310605134539,0
Tom Clancy's Ghost Recon: Future Soldier,PS3,2012.0,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95,79.0,18.0,6.9,156.0,Ubisoft Paris,M,tom clancy s ghost recon future soldier,1,0.0073643403335183774,-0.018385163514781363,0
Kessen,PS2,2000.0,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75.0,20.0,8.4,12.0,Koei,T,kessen,1,0.0014962043309843902,0.003152778598088718,0
Driver: San Francisco,PS3,2011.0,Racing,Ubisoft,0.24,0.52,0.01,0.18,0.95,79.0,53.0,7.7,114.0,Ubisoft Reflections,T,driver san francisco,1,0.0038288126110570227,0.0024553672005313957,0
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003.0,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95,,,,,,,yu gi oh worldwide edition stairway to the destined duel,1,0.029642715886159163,0.03230878066729813,0
NCAA Football 2000,PS,1999.0,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95,,,,,,,ncaa football 2000,1,0.030702410080285535,0.005454725375852166,0
Ben 10: Alien Force,DS,2008.0,Action,Koch Media,0.65,0.22,0.0,0.09,0.95,,,2.8,4.0,Monkey Bar Games,E,ben 10 alien force,1,0.02060282660335786,0.030299588579981124,0
Army of Two: The 40th Day,X360,2010.0,Shooter,Electronic Arts,0.62,0.24,0.0,0.09,0.95,73.0,79.0,7.3,126.0,EA Montreal,M,army of two the 40th day,1,0.003066868564891958,0.008315099583328128,0
Sonic & Sega All-Stars Racing,PS3,2010.0,Racing,Sega,0.36,0.43,0.0,0.16,0.95,,,,,,,sonic sega all stars racing,2,0.02329607462992584,0.01600447457469159,0
Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.41,0.46,0.0,0.08,0.95,,,tbd,,Ubisoft,E10+,just dance 2016,7,0.0002264752846692597,0.0624927607275429,0
Skylanders: Trap Team,Wii,2014.0,Action,Activision,0.41,0.46,0.0,0.08,0.95,,,tbd,,Toys for Bob,E10+,skylanders trap team,1,0.005476064606177605,5.06132011530161e-05,0
Lost Planet 2,PS3,2010.0,Shooter,Capcom,0.29,0.33,0.2,0.13,0.95,68.0,56.0,6.9,62.0,Capcom,T,lost planet 2,1,0.007682476598355335,0.00867766346505608,0
LEGO Pirates of the Caribbean: The Video Game,PS3,2011.0,Action,Disney Interactive Studios,0.36,0.43,0.0,0.16,0.95,73.0,42.0,7.1,34.0,Traveller's Tales,E10+,lego pirates of the caribbean the video game,3,0.02612492694168843,0.11348189475994429,0
NBA 2K16,X360,2015.0,Sports,Take-Two Interactive,0.79,0.05,0.0,0.1,0.94,,,3.2,24.0,Visual Concepts,E,nba 2k16,1,-0.00724061753586246,-0.03157548126879078,0
Killzone,PS2,2004.0,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94,70.0,67.0,7.4,254.0,Guerrilla,M,killzone,1,2.4028354802303227e-05,5.1950027511405835e-05,0
Colin McRae Rally 04,PS2,2003.0,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,,,,,,,colin mcrae rally 04,1,0.012199888729035376,0.006959505766282543,0
Club Penguin: Game Day!,Wii,2010.0,Sports,Disney Interactive Studios,0.54,0.32,0.0,0.08,0.94,,,,,,,club penguin game day,3,0.02252504884104568,0.07309822065630824,0
The SpongeBob SquarePants Movie,GC,2004.0,Platform,THQ,0.73,0.19,0.0,0.03,0.94,73.0,9.0,7.8,13.0,Heavy Iron Studios,E,the spongebob squarepants movie,1,0.0027367288738092245,0.009299393516614109,0
Star Fox 64 3D,3DS,2011.0,Shooter,Nintendo,0.48,0.27,0.13,0.06,0.94,81.0,65.0,8.2,231.0,Nintendo,E10+,star fox 64 3d,9,0.04429566011478704,0.1120867956201878,0
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996.0,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94,,,,,,,midway presents arcade s greatest hits the atari collection 1,1,0.00731947690230438,0.00953256352783511,0
Castlevania: Lament of Innocence,PS2,2003.0,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,79.0,45.0,8.4,74.0,KCET,M,castlevania lament of innocence,1,0.002412793197456881,0.004168543684501902,0
Rocksmith 2014,X360,2013.0,Misc,Ubisoft,0.69,0.16,0.0,0.09,0.94,,,,,,,rocksmith 2014,1,0.01719301108682591,-0.0023834586418831336,0
Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,27.0,7.7,314.0,Ubisoft Toronto,M,tom clancy s splinter cell blacklist,1,0.005601933723020092,-0.023276683456679565,0
Destroy All Humans!,PS2,2005.0,Shooter,THQ,0.78,0.03,0.0,0.13,0.94,,,,,,,destroy all humans,1,0.00016834320784578135,0.0004002411924792382,0
Skylanders: Spyro's Adventure,PS3,2011.0,Action,Activision,0.39,0.39,0.0,0.16,0.94,77.0,18.0,4.8,42.0,Toys for Bob,E10+,skylanders spyro s adventure,1,0.003982817221566117,0.004629340108436572,0
MVP Baseball 2005,XB,2005.0,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,86.0,35.0,,,EA Sports,,mvp baseball 2005,1,0.02619565919500206,0.01501662232682248,0
SaGa Frontier 2,PS,1999.0,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94,,,,,,,saga frontier 2,1,0.004707633552075468,0.01313419609099851,0
Phantasy Star Portable,PSP,2008.0,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,64.0,38.0,7.8,19.0,Alfa System,T,phantasy star portable,9,0.05519024976397749,0.13680046025673728,0
WWE SmackDown vs. Raw 2009,PS3,2008.0,Fighting,THQ,0.51,0.3,0.01,0.12,0.94,78.0,37.0,7,49.0,Yuke's,T,wwe smackdown vs raw 2009,1,0.02428066075136754,0.0017331605500234396,0
NCAA Football 10,X360,2009.0,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,83.0,26.0,6.7,37.0,EA Tiburon,E,ncaa football 10,1,0.03107193852866152,0.005584242074700422,0
Brutal Legend,PS3,2009.0,Action,Electronic Arts,0.54,0.27,0.0,0.13,0.94,83.0,61.0,7.6,162.0,Double Fine Productions,M,brutal legend,1,0.00779013044259982,0.01873545028722021,0
Tony Hawk: RIDE,Wii,2009.0,Sports,Activision,0.69,0.17,0.0,0.08,0.94,47.0,15.0,4.5,21.0,Buzz Monkey,E10+,tony hawk ride,1,0.044142980081550154,-0.040276293335038,0
MLB 2000,PS,1999.0,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94,,,,,,,mlb 2000,1,0.020819859495033465,-0.004246211099697516,0
Bully,PS2,2006.0,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87.0,69.0,9.1,293.0,Rockstar Vancouver,T,bully,1,0.00022291546233321283,7.543422633410974e-05,0
Rise of the Tomb Raider,PS4,2016.0,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94,,,,,,,rise of the tomb raider,1,0.0032599633760750195,0.01236362072309275,0
Prince of Persia: The Sands of Time,XB,2003.0,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,92.0,41.0,7.8,72.0,Ubisoft,T,prince of persia the sands of time,1,0.0023824288544300938,0.0050674746503264435,0
Hot Shots Golf Fore!,PS2,2003.0,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94,,,,,,,hot shots golf fore,1,0.011549527216441884,0.012102852080511532,0
MLB 06: The Show,PS2,2006.0,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,83.0,30.0,8.9,31.0,SCEA San Diego Studios,E,mlb 06 the show,1,0.024119684787822795,-0.0014588795386957926,0
NHL 2003,PS2,2002.0,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,79.0,20.0,6.8,18.0,EA Sports,E,nhl 2003,1,0.026773755927485494,-0.025443931859551218,0
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,CyberConnect2,T,naruto shippuden ultimate ninja storm 3,1,0.008259578121309126,0.01734942693325641,0
EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,EA Sports,T,ea sports ufc 2,1,0.008399320916676403,0.006113467112268443,0
The Sims 2,DS,2005.0,Simulation,Electronic Arts,0.81,0.05,0.0,0.07,0.93,70.0,13.0,6.1,24.0,Griptonite Games,E10+,the sims 2,1,-0.003512495601160035,0.046967507904729436,0
Bentley's Hackpack,GBA,2005.0,Misc,,0.67,0.25,0.0,0.02,0.93,,,,,,,bentley s hackpack,1,0.0,0.0,0
Tony Hawk's Pro Skater 4,XB,2002.0,Sports,Activision,0.59,0.3,0.0,0.04,0.93,90.0,25.0,8.5,21.0,Neversoft Entertainment,T,tony hawk s pro skater 4,5,0.17120452551131793,-0.1300057809022964,0
Dragon Age: Inquisition,XOne,2014.0,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93,85.0,28.0,6.9,703.0,BioWare,M,dragon age inquisition,1,0.012448249035172228,-0.008688262975030727,0
White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,Level 5,T,white knight chronicles international edition,1,0.028883260083832123,0.016084487962278102,0
SingStar Abba,PS3,2008.0,Misc,Sony Computer Entertainment,0.27,0.5,0.0,0.16,0.93,70.0,26.0,5.5,4.0,SCEE London Studio,T,singstar abba,1,-0.002172881353142931,0.016680373929017132,0
Crash City Mayhem,GBA,2004.0,Racing,THQ,0.67,0.25,0.0,0.02,0.93,,,,,,,crash city mayhem,1,0.004051584439070608,0.007199283792181723,0
Spider-Man,2600,1981.0,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,,,,,,,spider man,6,0.03619900684230935,0.1493962012627844,0
Kirby: Planet Robobot,3DS,2016.0,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,HAL Labs,E,kirby planet robobot,1,0.003045382576230212,0.00609575982085915,0
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,Activision,0.71,0.2,0.0,0.01,0.93,,,,,,,toy story 2 buzz lightyear to the rescue,1,0.004284895752543916,0.01087637382533524,0
Castlevania II: Simon's Quest,NES,1987.0,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,,,,,,,castlevania ii simon s quest,1,0.06957858301855849,0.12679860170709148,0
Mega Man 4,NES,1991.0,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,,,,,,,mega man 4,6,0.045580141690853365,0.17672300371679855,0
Guitar Hero: Metallica,Wii,2009.0,Misc,Activision,0.4,0.43,0.0,0.1,0.93,85.0,20.0,8.6,17.0,Neversoft Entertainment,T,guitar hero metallica,1,0.01248603718691448,0.03527720165331907,0
Teenage Mutant Ninja Turtles,GBA,2003.0,Action,Unknown,0.67,0.25,0.0,0.02,0.93,71.0,16.0,8.8,8.0,Konami,E,teenage mutant ninja turtles,1,0.00281478235970037,0.013328393426916106,0
Bayonetta,X360,2009.0,Action,Sega,0.51,0.25,0.09,0.08,0.93,90.0,86.0,8,597.0,PlatinumGames,M,bayonetta,1,0.0,0.0,0
MLB 07: The Show,PS2,2007.0,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,83.0,25.0,8.6,19.0,SCEA,E,mlb 07 the show,1,0.014527407371017308,-0.0013164902196157898,0
Cars,GC,2006.0,Racing,THQ,0.72,0.19,0.0,0.03,0.93,71.0,21.0,7,5.0,Rainbow Studios,E,cars,1,0.004712601829744099,0.0045655151722245185,0
Build-A-Bear Workshop,DS,2007.0,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,61.0,11.0,4.8,5.0,Neko Entertainment,E,build a bear workshop,1,0.00031591785872106364,0.0015439047728635848,0
Kingdom Hearts Re:coded,DS,2010.0,Role-Playing,Square Enix,0.53,0.09,0.27,0.05,0.93,66.0,58.0,7,76.0,"Square Enix, h.a.n.d. Inc.",E10+,kingdom hearts re coded,1,0.005122157157545326,0.00798947025960878,0
Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,77.0,47.0,7.8,112.0,Codemasters,M,operation flashpoint dragon rising,1,0.009635991238780645,-0.00534104089372072,0
Inazuma Eleven 3,DS,2010.0,Role-Playing,Level 5,0.0,0.0,0.93,0.0,0.93,,,,,,,inazuma eleven 3,1,0.0003917156562575752,-3.248644118103954e-05,0
Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,TT Games,E10+,lego batman 3 beyond gotham,9,0.018434211656941205,0.04700457344339035,0
Wipeout: In The Zone,X360,2011.0,Misc,Activision,0.87,0.0,0.0,0.06,0.93,39.0,5.0,5.6,8.0,Activision,E10+,wipeout in the zone,1,0.0013840131110924093,0.005876292453792911,0
SnoCross Championship Racing,PS,1999.0,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,66.0,8.0,tbd,,UDS,E,snocross championship racing,2,0.08566712941682217,0.06052232535378826,0
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,76.0,48.0,8,70.0,Gearbox Software,M,brothers in arms hell s highway,1,0.0017885328936254321,0.004733981408309565,0
The LEGO Movie Videogame,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,TT Games,E10+,the lego movie videogame,9,0.019075884277959226,0.046252796513809834,0
Assassin's Creed III,PC,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,Ubisoft,M,assassin s creed iii,1,0.013727355316180889,0.014519098734568511,0
Borderlands 2,PC,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,Gearbox Software,M,borderlands 2,1,0.0002740975992263335,0.0013596177642250082,0
Teenage Mutant Ninja Turtles,PS2,2003.0,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,59.0,29.0,8.7,31.0,KCE Studios,E,teenage mutant ninja turtles,1,0.00281478235970037,0.013328393426916106,0
Disney Magical World,3DS,2013.0,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,27.0,7.5,21.0,h.a.n.d. Inc.,E,disney magical world,1,0.13570295068755753,0.13999177006088967,0
Top Gun: Combat Zones,PS2,2001.0,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,63.0,17.0,3.3,9.0,Titus Software,E,top gun combat zones,1,0.002206337447153974,0.003452450242797543,0
NCAA Football 11,X360,2010.0,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,86.0,29.0,7.1,70.0,EA Tiburon,E,ncaa football 11,1,0.035623315710719444,0.004725596819805078,0
007: The World is not Enough,PS,2000.0,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,Black Ops Entertainment,T,007 the world is not enough,1,0.20982387983926637,0.21431168852618054,0
Cars,Wii,2006.0,Racing,THQ,0.83,0.03,0.0,0.07,0.92,65.0,13.0,tbd,,Rainbow Studios,E,cars,1,0.004712601829744099,0.0045655151722245185,0
Monster High: Ghoul Spirit,DS,2011.0,Misc,THQ,0.69,0.16,0.0,0.07,0.92,,,tbd,,ImaginEngine,E,monster high ghoul spirit,1,0.002095711271288355,0.005733796636114346,0
Phoenix Wright: Ace Attorney,DS,2005.0,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,81.0,53.0,9.2,203.0,Capcom,T,phoenix wright ace attorney,1,0.0007400566001405876,0.0013932058521746314,0
MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,SCEA San Diego Studios,E,mlb 15 the show,1,0.01361068057671998,-0.004013340174481631,0
South Park: The Stick of Truth,PS3,2014.0,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,31.0,8.5,575.0,Obsidian Entertainment,M,south park the stick of truth,1,0.0043986137825839265,0.003892794007347654,0
South Park: The Stick of Truth,X360,2014.0,Role-Playing,Ubisoft,0.58,0.26,0.0,0.09,0.92,82.0,33.0,8.4,363.0,Obsidian Entertainment,M,south park the stick of truth,1,0.0043986137825839265,0.003892794007347654,0
NHL 98,PS,1997.0,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92,,,,,,,nhl 98,1,0.024770866483732886,-0.02783017034707183,0
Space Jam,PS,1996.0,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92,,,,,,,space jam,1,-1.6574358262616392e-05,-0.0005149953564029075,0
Balloon Fight,NES,1985.0,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,,,,,,,balloon fight,1,0.0021611374366330327,-0.0006400557866564627,0
Knockout Kings 2000,N64,1999.0,Fighting,Electronic Arts,0.63,0.27,0.0,0.02,0.92,,,,,,,knockout kings 2000,1,0.010834491172910517,-0.0016544377232035046,0
MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,87.0,23.0,7.5,75.0,SCEA San Diego Studios,E,mlb 12 the show,1,0.021115782007741307,-0.006937651055116192,0
SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,THQ,0.55,0.21,0.0,0.16,0.92,48.0,9.0,6.4,13.0,Tantalus Interactive,E,spongebob squarepants the yellow avenger,1,0.001556334943935146,0.0049511662277888,0
Dante's Inferno,X360,2010.0,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73.0,71.0,7.7,224.0,Visceral Games,M,dante s inferno,1,0.00018050670385179112,5.491871485707015e-05,0
Wii Play: Motion,Wii,2011.0,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,60.0,34.0,6.1,16.0,Nintendo,E10+,wii play motion,1,0.00819097941001233,0.005589014580029325,0
WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79.0,47.0,7.1,34.0,Yuke's,T,wwe smackdown vs raw 2009,1,0.02428066075136754,0.0017331605500234396,0
Sonic Riders,GC,2006.0,Racing,Sega,0.71,0.18,0.0,0.03,0.92,59.0,32.0,8,46.0,Sonic Team,E,sonic riders,1,0.00447377902066433,0.007824289234726766,0
Starsky & Hutch,PS2,2003.0,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,,,,,,,starsky hutch,1,-5.96378285870619e-08,5.437179173444785e-08,0
Tobal No.1,PS,1996.0,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,,,,,,,tobal no 1,1,0.0,0.0,0
Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79.0,56.0,7.8,161.0,"Mistwalker, Artoon",T,blue dragon,1,0.02029626791376301,-0.014585104988408414,0
Buzz! Quiz World,PS3,2009.0,Misc,Sony Computer Entertainment,0.16,0.57,0.0,0.19,0.91,,,,,,,buzz quiz world,1,0.1507428058204553,0.15736699205640034,0
Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.91,74.0,21.0,8.2,62.0,Marvelous AQL,E,harvest moon 3d a new beginning,1,0.011010259284394096,0.011394317201712568,0
Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,Xpec,E10+,kung fu panda,1,0.002675990291696541,0.002099257180068468,0
Street Hoops,PS2,2002.0,Sports,Activision,0.45,0.35,0.0,0.12,0.91,,,,,,,street hoops,1,0.023220032900648287,5.9893240407844996e-05,0
EA Sports Grand Slam Tennis,Wii,2009.0,Sports,Electronic Arts,0.28,0.51,0.02,0.11,0.91,,,,,,,ea sports grand slam tennis,1,0.01444356680291566,0.011739623904677806,0
EA Sports Active 2,PS3,2010.0,Sports,Electronic Arts,0.52,0.27,0.0,0.12,0.91,78.0,20.0,5.4,14.0,EA Canada,E,ea sports active 2,1,0.008255537838723648,0.0063823017770724254,0
Nickelodeon Fit,Wii,2010.0,Sports,Take-Two Interactive,0.76,0.09,0.0,0.06,0.91,,,tbd,,High Voltage Software,E,nickelodeon fit,1,1.553066096384419e-05,0.0022036111300198793,0
Knockout Kings 2002,PS2,2002.0,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,76.0,23.0,8.1,12.0,Electronic Arts,T,knockout kings 2002,1,0.015320136138120796,0.0026400811861606623,0
Injustice: Gods Among Us,PS4,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0.0,0.16,0.91,,,,,,,injustice gods among us,1,0.0003432509168903463,0.0001815602260384258,0
Tom Clancy's EndWar,X360,2008.0,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77.0,63.0,7.2,53.0,Ubisoft Shanghai,T,tom clancy s endwar,1,0.005459541011887496,-0.022283276982495815,0
